product_id,from_site_id,to_site_id,week,ship_qty,ship_value
NWO-1001,PLANT_01,DC_NORTH,2023-06-05,105,8221.5
NWO-1001,PLANT_01,DC_NORTH,2023-06-12,156,12214.8
NWO-1001,PLANT_01,DC_NORTH,2023-06-19,133,10413.9
NWO-1001,PLANT_01,DC_NORTH,2023-06-26,101,7908.3
NWO-1001,PLANT_01,DC_NORTH,2023-07-03,98,7673.4
NWO-1001,PLANT_01,DC_NORTH,2023-07-10,157,12293.1
NWO-1001,PLANT_01,DC_NORTH,2023-07-17,130,10179.0
NWO-1001,PLANT_01,DC_NORTH,2023-07-24,135,10570.5
NWO-1001,PLANT_01,DC_NORTH,2023-07-31,125,9787.5
NWO-1001,PLANT_01,DC_NORTH,2023-08-07,111,8691.3
NWO-1001,PLANT_01,DC_NORTH,2023-08-14,141,11040.3
NWO-1001,PLANT_01,DC_NORTH,2023-08-21,119,9317.7
NWO-1001,PLANT_01,DC_NORTH,2023-08-28,130,10179.0
NWO-1001,PLANT_01,DC_NORTH,2023-09-04,117,9161.1
NWO-1001,PLANT_01,DC_NORTH,2023-09-11,116,9082.8
NWO-1001,PLANT_01,DC_NORTH,2023-09-18,90,7047.0
NWO-1001,PLANT_01,DC_NORTH,2023-09-25,99,7751.7
NWO-1001,PLANT_01,DC_NORTH,2023-10-02,203,15894.9
NWO-1001,PLANT_01,DC_NORTH,2023-10-09,178,13937.4
NWO-1001,PLANT_01,DC_NORTH,2023-10-16,226,17695.8
NWO-1001,PLANT_01,DC_NORTH,2023-10-23,117,9161.1
NWO-1001,PLANT_01,DC_NORTH,2023-10-30,82,6420.6
NWO-1001,PLANT_01,DC_NORTH,2023-11-06,188,14720.4
NWO-1001,PLANT_01,DC_NORTH,2023-11-13,182,14250.6
NWO-1001,PLANT_01,DC_NORTH,2023-11-20,156,12214.8
NWO-1001,PLANT_01,DC_NORTH,2023-11-27,136,10648.8
NWO-1001,PLANT_01,DC_NORTH,2023-12-04,168,13154.4
NWO-1001,PLANT_01,DC_NORTH,2023-12-11,159,12449.7
NWO-1001,PLANT_01,DC_NORTH,2023-12-18,215,16834.5
NWO-1001,PLANT_01,DC_NORTH,2023-12-25,235,18400.5
NWO-1001,PLANT_01,DC_NORTH,2024-01-01,84,6577.2
NWO-1001,PLANT_01,DC_NORTH,2024-01-08,111,8691.3
NWO-1001,PLANT_01,DC_NORTH,2024-01-15,101,7908.3
NWO-1001,PLANT_01,DC_NORTH,2024-01-22,98,7673.4
NWO-1001,PLANT_01,DC_NORTH,2024-01-29,97,7595.1
NWO-1001,PLANT_01,DC_NORTH,2024-02-05,114,8926.2
NWO-1001,PLANT_01,DC_NORTH,2024-02-12,95,7438.5
NWO-1001,PLANT_01,DC_NORTH,2024-02-19,80,6264.0
NWO-1001,PLANT_01,DC_NORTH,2024-02-26,112,8769.6
NWO-1001,PLANT_01,DC_NORTH,2024-03-04,143,11196.9
NWO-1001,PLANT_01,DC_NORTH,2024-03-11,99,7751.7
NWO-1001,PLANT_01,DC_NORTH,2024-03-18,112,8769.6
NWO-1001,PLANT_01,DC_NORTH,2024-03-25,117,9161.1
NWO-1001,PLANT_01,DC_NORTH,2024-04-01,107,8378.1
NWO-1001,PLANT_01,DC_NORTH,2024-04-08,132,10335.6
NWO-1001,PLANT_01,DC_NORTH,2024-04-15,156,12214.8
NWO-1001,PLANT_01,DC_NORTH,2024-04-22,138,10805.4
NWO-1001,PLANT_01,DC_NORTH,2024-04-29,114,8926.2
NWO-1001,PLANT_01,DC_NORTH,2024-05-06,126,9865.8
NWO-1001,PLANT_01,DC_NORTH,2024-05-13,120,9396.0
NWO-1001,PLANT_01,DC_NORTH,2024-05-20,125,9787.5
NWO-1001,PLANT_01,DC_NORTH,2024-05-27,112,8769.6
NWO-1001,PLANT_01,DC_NORTH,2024-06-03,147,11510.1
NWO-1001,PLANT_01,DC_NORTH,2024-06-10,189,14798.7
NWO-1001,PLANT_01,DC_NORTH,2024-06-17,141,11040.3
NWO-1001,PLANT_01,DC_NORTH,2024-06-24,155,12136.5
NWO-1001,PLANT_01,DC_NORTH,2024-07-01,149,11666.7
NWO-1001,PLANT_01,DC_NORTH,2024-07-08,140,10962.0
NWO-1001,PLANT_01,DC_NORTH,2024-07-15,188,14720.4
NWO-1001,PLANT_01,DC_NORTH,2024-07-22,123,9630.9
NWO-1001,PLANT_01,DC_NORTH,2024-07-29,172,13467.6
NWO-1001,PLANT_01,DC_NORTH,2024-08-05,142,11118.6
NWO-1001,PLANT_01,DC_NORTH,2024-08-12,165,12919.5
NWO-1001,PLANT_01,DC_NORTH,2024-08-19,197,15425.1
NWO-1001,PLANT_01,DC_NORTH,2024-08-26,155,12136.5
NWO-1001,PLANT_01,DC_NORTH,2024-09-02,141,11040.3
NWO-1001,PLANT_01,DC_NORTH,2024-09-09,121,9474.3
