product_id,customer_id,site_id,week,pos_units,pos_dollars,base_units,incremental_units
NWO-1001,CUST_MEGA,DC_SOUTH,2023-06-05,174,34829.05,174,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-06-12,178,35559.46,178,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-06-19,184,36703.08,184,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-06-26,170,33851.18,170,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-07-03,166,33110.12,166,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-07-10,181,36060.37,181,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-07-17,177,35425.76,177,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-07-24,206,41118.16,206,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-07-31,151,30113.16,151,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-08-07,186,37206.08,186,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-08-14,140,27959.25,140,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-08-21,192,38341.35,192,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-08-28,162,32383.41,162,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-09-04,215,42828.27,215,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-09-11,188,37488.73,188,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-09-18,186,37122.09,186,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-09-25,159,31693.42,159,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-10-02,141,28074.3,141,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-10-09,162,32279.35,162,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-10-16,173,34483.19,173,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-10-23,162,32267.28,162,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-10-30,386,63241.2,191,195
NWO-1001,CUST_MEGA,DC_SOUTH,2023-11-06,455,74484.07,213,242
NWO-1001,CUST_MEGA,DC_SOUTH,2023-11-13,408,66747.73,221,187
NWO-1001,CUST_MEGA,DC_SOUTH,2023-11-20,285,56958.89,285,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-11-27,218,43459.06,218,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-12-04,254,50647.39,254,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-12-11,245,48856.4,245,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-12-18,224,44797.57,224,0
NWO-1001,CUST_MEGA,DC_SOUTH,2023-12-25,279,55686.75,279,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-01-01,137,27304.92,137,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-01-08,126,25079.41,126,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-01-15,163,32617.38,163,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-01-22,147,29435.05,147,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-01-29,123,24500.0,123,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-02-05,169,33709.07,169,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-02-12,160,31939.1,160,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-02-19,116,23140.41,116,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-02-26,107,21347.73,107,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-03-04,171,34051.97,171,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-03-11,194,38794.86,194,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-03-18,142,28367.16,142,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-03-25,153,30484.69,153,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-04-01,146,29231.53,146,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-04-08,197,39346.69,197,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-04-15,187,37412.98,187,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-04-22,214,42668.19,214,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-04-29,198,39500.55,198,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-05-06,192,38371.87,192,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-05-13,162,32367.63,162,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-05-20,211,42059.46,211,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-05-27,203,40506.3,203,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-06-03,218,43453.57,218,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-06-10,189,37781.24,189,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-06-17,216,43111.23,216,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-06-24,196,39061.05,196,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-07-01,201,40210.17,201,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-07-08,180,35953.99,180,0
NWO-1001,CUST_MEGA,DC_SOUTH,2024-07-15,205,40894.2,205,0
